Unnamed: 0,postal_code,state,city
73995,68824,NE,cairo
73997,44825,OH,chatfield
74025,41835,KY,mcroberts
74027,52165,IA,ridgeway
74028,23879,VA,skippers
74090,31625,GA,barney
74156,59525,MT,gildford
74172,3450,NH,harrisville
74194,30639,GA,franklinsprings
74199,87032,NM,mcintosh
74263,24469,VA,newhope
74281,46778,IN,petroleum
74343,50566,IA,moorland
74382,65287,MO,wooldridge
74448,14134,NY,sardinia
74476,98283,WA,rockport
74497,72776,AR,witter
74535,88424,NM,grenville
74548,22850,VA,singersglen
74566,83321,ID,castleford
74660,44682,OH,tuscarawas
74713,40209,KY,louisville
74797,49952,MI,nisula
74907,66026,KS,fontana
74970,59484,MT,sweetgrass
74986,58030,ND,fairmount
74994,68447,NE,tablerock
75067,58365,ND,rocklake
75069,8095,NJ,winslow
75080,19523,PA,geigertown
75082,65446,MO,cherryville
75161,62297,IL,walsh
75189,95420,CA,caspar
75193,67520,KS,bison
75230,74540,OK,daisy
75317,23359,VA,hallwood
75423,70453,LA,pinegrove
75434,44640,OH,limaville
75521,95418,CA,calpella
75592,66539,KS,silverlake
75601,68854,NE,marquette
75715,87523,NM,cordova
75730,12820,NY,cleverdale
75785,73436,OK,geneautry
75866,13111,NY,martville
76036,68855,NE,masoncity
76163,75694,TX,woodlawn
76177,51006,IA,battlecreek
76185,18842,PA,southgibson
76190,52170,IA,waterville
76281,62365,IL,plainville
76318,17251,PA,roxbury
76364,1349,MA,millersfalls
76540,12161,NY,southbethlehem
76584,68950,NE,holstein
76644,32183,FL,ocklawaha
76701,65334,MO,hughesville
76728,27594,NC,wise
76756,72934,AR,chester
76832,84750,UT,marysvale
76837,55945,MN,kellogg
76896,31629,GA,dixie
76909,24589,VA,scottsburg
76914,56113,MN,arco
77080,77661,TX,stowell
77137,49925,MI,ewen
77170,5748,VT,hancock
77217,16343,PA,reno
77219,24565,VA,java
77221,18851,PA,warrencenter
77231,44828,OH,flatrock
77243,77453,TX,lanecity
77359,22949,VA,lovingston
77364,98933,WA,harrah
77605,34739,FL,kenansville
77606,38961,MS,tillatoba
77627,69141,NE,gurley
77768,51029,IA,larrabee
77886,52046,IA,farley
77928,18615,PA,falls
77959,50611,IA,bristow
78067,42079,KY,sedalia
78142,72179,AR,wilburn
78161,61841,IL,fairmount
78220,93554,CA,randsburg
78236,62266,IL,newmemphis
78242,52168,IA,spillville
78254,61439,IL,henderson
78268,72429,AR,fisher
78328,68948,NE,holbrook
78360,46786,IN,southmilford
78452,50544,IA,harcourt
78459,17862,PA,pennscreek
78497,12460,NY,oakhill
78526,42404,KY,clay
78543,25126,WV,london
78563,84076,UT,tridell
78793,38625,MS,dumas
78822,51056,IA,smithland
78840,70826,LA,batonrouge
78841,50160,IA,martensdale
78845,49834,MI,fostercity
78915,66033,KS,greeley
78940,73739,OK,goltry
78942,50241,IA,saintmarys
78958,51649,IA,randolph
79052,23486,VA,williswharf
79060,30719,GA,dalton
79100,38721,MS,anguilla
79106,59081,MT,silvergate
79186,98673,WA,wishram
79253,68033,NE,ithaca
79263,75102,TX,barry
79450,4490,ME,topsfield
79457,28342,NC,falcon
79525,54639,WI,lafarge
79540,68658,NE,risingcity
79628,24082,VA,critz
79649,77988,TX,telferner
79733,51430,IA,arcadia
79739,53553,WI,linden
80006,65768,MO,vanzant
80029,56276,MN,odessa
80191,49805,MI,allouez
80228,23389,VA,harborton
80265,25503,WV,ashton
80273,48662,MI,wheeler
80524,1438,MA,easttempleton
80525,19955,DE,kenton
80643,57365,SD,oacoma
80668,79098,TX,wildorado
80669,51049,IA,quimby
80744,50470,IA,rowan
80765,45866,OH,montezuma
80900,16034,PA,fenelton
80963,71826,AR,bradley
80994,48882,MI,shaftsburg
81009,61862,IL,penfield
81025,73838,OK,chester
81035,56760,MN,viking
81047,80474,CO,rollinsville
81058,97761,OR,warmsprings
81151,65035,MO,freeburg
81175,12858,NY,paradox
81195,50102,IA,gardencity
81201,72435,AR,knobel
81214,21522,MD,bittinger
81241,51651,IA,shambaugh
81246,25564,WV,sod
81481,12943,NY,keenevalley
81527,72339,AR,gilmore
81547,14874,NY,pulteney
81640,70630,LA,bellcity
81672,23976,VA,wylliesburg
81742,74644,OK,marland
81794,17850,PA,montandon
81869,52721,IA,bennett
81902,58330,ND,edmore
81987,72004,AR,altheimer
82141,47860,IN,mecca
82180,97839,OR,lexington
82460,97414,OR,broadbent
82507,56680,MN,springlake
82598,47926,IN,burnettsville
82612,84086,UT,woodruff
82646,97842,OR,imnaha
82660,24984,WV,waiteville
82740,19457,PA,parkerford
82820,19456,PA,oaks
82828,63463,MO,philadelphia
82872,38761,MS,moorhead
82899,39322,MS,buckatunna
82902,49822,MI,deerton
82917,49728,MI,eckerman
83091,14721,NY,ceres
83107,47326,IN,bryant
83110,21023,MD,butler
83221,4109,ME,portland
83226,47855,IN,hymera
83242,29122,SC,peak
83284,51656,IA,yorktown
83328,64074,MO,napoleon
83350,4535,ME,alna
83375,21930,MD,georgetown
83381,56173,MN,steen
83425,52586,IA,rosehill
83468,56456,MN,jenkins
83504,78536,TX,delmita
83627,25573,WV,yawkey
83730,4669,ME,prospectharbor
83834,88072,NM,vado
83844,28006,NC,alexis
83955,58559,ND,mercer
84112,58002,ND,absaraka
84173,83215,ID,atomiccity
84249,56333,MN,gilman
84289,26219,WV,frenchton
84311,72677,AR,summit
84313,59469,MT,raynesford
84359,61077,IL,seward
84401,31011,GA,chauncey
84452,1084,MA,westchesterfield
84490,56754,MN,sainthilaire
84522,62996,IL,villaridge
84555,94929,CA,dillonbeach
84572,15430,PA,dickersonrun
84611,16332,PA,lickingville
84681,46049,IN,kempton
84684,26767,WV,wileyford
84701,41651,KY,minnie
84730,50039,IA,bouton
84773,61423,IL,cameron
84776,58067,ND,rutland
84860,70721,LA,carville
84868,2059,MA,northmarshfield
84873,67454,KS,kanopolis
84903,47010,IN,bath
84928,56029,MN,emmons
85108,50861,IA,shannoncity
85124,56122,MN,chandler
85155,41019,KY,covington
85246,87519,NM,cerro
85315,80652,CO,roggen
85326,43101,OH,adelphi
85360,4650,ME,littledeerisle
85446,83524,ID,culdesac
85494,66873,KS,wilsey
85546,4764,ME,oxbow
85603,62803,IL,hoyleton
85655,73523,OK,altusafb
85662,15641,PA,hydepark
85676,41226,KY,keaton
85694,62875,IL,patoka
85782,13738,NY,blodgettmills
85789,52065,IA,newvienna
85895,61013,IL,cedarville
85900,61468,IL,ophiem
85936,64676,MO,rothville
85972,87027,NM,lajara
86089,25851,WV,harper
86095,67745,KS,mcdonald
86135,71260,LA,marion
86154,36702,AL,selma
86201,63386,MO,westalton
86251,40052,KY,newhope
86289,22230,VA,arlington
86301,20226,DC,washington
86306,83846,ID,mullan
86314,71456,LA,natchez
86406,37351,TN,luptoncity
86455,72181,AR,wooster
86497,54458,WI,nelsonville
86535,65064,MO,olean
86537,37315,TN,collegedale
86557,43027,OH,homer
86583,42440,KY,mortonsgap
86638,58430,ND,denhoff
86708,40010,KY,buckner
86863,22719,VA,etlan
87119,56722,MN,euclid
87208,58769,ND,palermo
87222,16860,PA,munson
87250,60474,IL,southwilmington
87302,59867,MT,saltese
87336,82515,WY,hudson
87440,28664,NC,plumtree
87537,77415,TX,cedarlane
87620,71045,LA,jamestown
87626,80546,CO,severance
87685,52580,IA,packwood
87696,8073,NJ,rancocas
87752,60973,IL,wellington
88040,57073,SD,wakonda
88234,52647,IA,olds
88354,64445,MO,elmo
88366,39082,MS,harrisville
88412,99117,WA,creston
88482,45779,OH,syracuse
88593,62058,IL,livingston
88613,62245,IL,germantown
88712,51552,IA,marne
88713,67563,KS,offerle
88778,68728,NE,concord
88889,4624,ME,corea
88912,57370,SD,pukwana
88919,12864,NY,sabael
88929,19435,PA,frederick
88947,16629,PA,coupon
89070,39441,MS,laurel
89144,21653,MD,newcomb
89209,18503,PA,scranton
89268,41141,KY,garrison
89303,26629,WV,littlebirch
