,postal_code,state,city
255,85139,az,maricopa
256,41559,ky,regina
257,68137,ne,omaha
258,11366,ny,freshmeadows
259,80428,co,clark
260,93226,ca,glennville
261,29341,sc,gaffney
262,63769,mo,oakridge
263,73086,ok,sulphur
264,36583,al,tibbie
265,46540,in,middlebury
266,5773,vt,wallingford
267,24430,va,craigsville
268,72824,ar,belleville
269,41645,ky,langley
270,33544,fl,wesleychapel
271,63945,mo,harviell
272,8242,nj,riogrande
273,83626,id,greenleaf
274,45154,oh,mountorab
275,73009,ok,binger
276,78249,tx,sanantonio
277,80453,co,idledale
278,41255,ky,sitka
279,1247,ma,northadams
280,61424,il,campgrove
281,70039,la,boutte
282,64079,mo,plattecity
283,17536,pa,kirkwood
284,64738,mo,collins
285,13440,ny,rome
286,36879,al,waverly
287,93060,ca,santapaula
288,55787,mn,tamarack
289,5457,vt,franklin
290,75487,tx,talco
291,38610,ms,bluemountain
292,2093,ma,wrentham
293,4253,me,livermore
294,38425,tn,clifton
295,55018,mn,dennison
296,29601,sc,greenville
297,70548,la,kaplan
298,18327,pa,delawarewatergap
299,29477,sc,saintgeorge
300,74736,ok,garvin
301,20004,dc,washington
302,31632,ga,hahira
303,4087,me,waterboro
304,2139,ma,cambridge
305,38927,ms,enid
306,76377,tx,petrolia
307,83226,id,challis
308,45219,oh,cincinnati
309,41071,ky,newport
310,62427,il,flatrock
311,99039,wa,waverly
312,56001,mn,mankato
313,94556,ca,moraga
314,98404,wa,tacoma
315,23602,va,newportnews
316,59715,mt,bozeman
317,61940,il,metcalf
318,47331,in,connersville
319,23056,va,foster
320,19018,pa,cliftonheights
321,44836,oh,greensprings
322,15748,pa,homercity
323,80634,co,greeley
324,70444,la,kentwood
325,86029,az,sunvalley
326,96022,ca,cottonwood
327,75007,tx,carrollton
328,93292,ca,visalia
329,67146,ks,udall
330,6085,ct,unionville
331,65082,mo,tuscumbia
332,84630,ut,fayette
333,16620,pa,brisbin
334,70123,la,neworleans
335,31553,ga,nahunta
336,22724,va,jeffersonton
337,70391,la,paincourtville
338,28577,nc,sealevel
339,25039,wv,cedargrove
340,83523,id,craigmont
341,6084,ct,tolland
342,78597,tx,southpadreisland
343,99833,ak,petersburg
344,98570,wa,onalaska
345,12188,ny,waterford
346,28466,nc,wallace
347,8731,nj,forkedriver
348,40865,ky,putney
349,73557,ok,medicinepark
350,35213,al,birmingham
351,83445,id,saintanthony
352,13459,ny,sharonsprings
353,3814,nh,centerossipee
354,21221,md,essex
355,8528,nj,kingston
356,62075,il,nokomis
357,26215,wv,cleveland
358,79567,tx,winters
359,77381,tx,spring
360,76103,tx,fortworth
361,87410,nm,aztec
362,7202,nj,elizabeth
363,54128,wi,gresham
364,52356,ia,wellman
365,62249,il,highland
366,30667,ga,stephens
367,17349,pa,newfreedom
368,56710,mn,alvarado
369,44287,oh,westsalem
370,52353,ia,washington
371,12582,ny,stormville
372,11220,ny,brooklyn
373,30153,ga,rockmart
